case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv02_weighted_export,Apt2,242.03226949001305,61.755319032960486,182.17743432621702,1.6046192152785466e-15,19.492142247840796,17.591658378676314,0.0,0.0,1.0,0.24730105324350482,5.0,1.0,5.0,49.187907268078604,-1.4155343563970746e-17,0.1178862779727143,1.746463377373545,-9.43689570931383e-16,1.746463377373545,9.43689570931383e-16,-4.090477956353311e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,Apt3,117.94368032413539,41.17021268864032,77.84390339372696,0.00010049443751422693,10.97779757737834,9.907462313583949,0.0,0.0,0.9999975590498337,0.33999089073874367,5.0,1.0,5.0,21.017847886640027,-6.029666250894e-06,0.08717150811177538,1.2914297498040797,-0.0004019777500596,1.2914297498040797,0.0004019777500596,-4.9144716074422945e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,Apt4,59.43046312832059,41.17021268864032,19.940643794286462,4.071479872421907e-05,17.234386049307417,15.554033409499944,0.0,0.0,0.9999990110617346,0.6644710011559024,5.0,1.0,5.0,5.383971381569422,-2.4428879234775e-06,0.03809627386897154,0.564389242503282,-0.0001628591948985,0.564389242503282,0.0001628591948985,-6.617536379982525e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,Apt5,149.81598662198513,41.17021268864032,109.54584365393494,0.00016194212267703424,9.229823368897137,8.329915590429664,0.0,0.0,0.9999960665220775,0.26879736853223546,5.0,1.0,5.0,29.57736807003507,-8.5503899559375e-06,0.1139029197890887,1.6874506635420548,-0.0005700259970625,1.6874506635420548,0.0005700259970625,-2.4659094211010313e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,Apt6,278.96668994884067,41.17021268864032,238.54552033099034,1.127570259384924e-16,7.682493033744176,6.9334499629541195,0.0,0.0,1.0,0.1448960434138682,5.0,1.0,5.0,64.4072904893674,-1.3322676295501878e-17,0.1358758682291909,2.0129758256176427,-8.881784197001252e-16,2.0129758256176427,8.881784197001252e-16,-3.1953606427492787e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,Apt7,91.80731761505041,41.17021268864032,52.549300780332416,0.00026697373994974866,19.609526976229613,17.697598096047226,0.0,0.0,0.999993515366511,0.4276131560593841,5.0,1.0,5.368849707897205,14.188295192265358,-8.875699017339001e-06,0.04051775325969226,0.6002630112547,-0.0005917132678226,0.6002630112547,0.0005917132678226,-5.12870995672543e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,Apt8,265.99010256848595,41.17021268864032,225.536357625241,-5.287382944668685e-16,7.348387132259904,6.631919386864562,0.0,0.0,1.0,0.15208740683435426,5.0,1.0,5.000036872458014,60.894816558815066,-2.0192181260370036e-17,0.11739065714325361,1.73912084656672,-1.3461454173580025e-15,1.73912084656672,1.3461454173580025e-15,-3.696695727306576e-15,,,,,,,,,,,,,,
b8_pv02_weighted_export,_COMMUNITY,1248.651446164792,411.7021268864032,906.1390039047292,56.92703035539829,125.7708130353036,113.5081587643615,0.0,0.0,0.8617276262672658,0.2743058868125953,40.0,8.011078404369503,40.4131841046659,241.241909232953,-0.02043635168659984,0.36285282300683014,5.3755973778789645,-1.3624234457733229,5.3755973778789645,1.3624234457733229,40.89832598014836,906.1390039047292,56.92703035539829,0.0,0.0,0.8617276262672658,0.2743058868125953,0.04513471531841088,30.155238654119124,23.8740244979138,-3.415587613817965,64.4072904893674,67.82287810318536,0.7917040475702776,0.44865376613689806
b8_pv03_consumption_instant_export,Apt1,42.664936467960885,10.287589068391972,32.71085986897657,0.00016957038824521779,3.4189015284043545,3.085558629384933,0.0,0.0,0.999983516994398,0.2333081312908857,5.0,1.877907687849581,5.000000000000001,8.831921990400382,-4.4180297833635e-06,0.04802273712931124,0.7114479574712775,-0.0002945353188909,0.7114479574712775,0.0002945353188909,-1.9294461861552037e-15,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export,Apt2,242.03226949001305,65.00406050439503,178.49159044595663,8.026084745659923e-05,15.008217430678531,13.544916231187374,0.0,0.0,0.9999987652948626,0.2625297824044008,5.0,0.9999999999999998,5.0,48.192724604757444,-4.8156508474035e-06,0.1178862779727143,1.746463377373545,-0.0003210433898269,1.746463377373545,0.0003210433898269,-1.0850695342234928e-15,,,,,,,,,,,,,,
