t,ag1,ag2,ag3
421,0.09971477235681121,0.010287591234498296,0.00518379882551428
422,0.11633504399807976,0.013383667367077813,0.006743875956684538
423,0.14025947736214298,0.014549984216400852,0.007331569594182872
424,0.17148015449968426,0.007449775577846667,0.00375385617590297
425,0.18440946946124756,0.00763379312811641,0.00384658050166773
426,0.20794762795324456,0.008081263611593597,0.004072055728455766
427,0.3007188071910575,0.0233431972655603,0.0117623684505638
428,0.1028127400736042,0.0549949901680152,0.02771134262082
429,0.0585260677116567,0.0549949901680152,0.02771134262082
430,0.077686204434916,0.303461564452285,0.1529107898573302
431,0.0892807012963425,0.303461564452285,0.1529107898573302
432,0.069843772870821,0.29436167399283,0.1483254597833817
433,0.0877737242506927,0.29436167399283,0.1483254597833817
434,0.092848238792166,0.308604980798935,0.155502498159997
435,0.076517528358698,0.308604980798935,0.155502498159997
436,0.097430679196284,0.303857211863565,0.1531101520344585
437,0.0631392627493597,0.303857211863565,0.1531101520344585
438,0.074549231809278,0.3331351202983375,0.1678629531419455
439,0.0802080843888602,0.3331351202983375,0.1678629531419455
440,0.0623396422761577,0.3568739649751775,0.1798246837696375
441,0.0859284462356117,0.3568739649751775,0.1798246837696375
442,0.08617155918978546,0.31200218669850566,0.15721431111512077
443,0.08614610379502823,0.298847202152082,0.1505856657999052
444,0.11286370164229714,0.3108402864405206,0.15662884294716756
445,0.08918313435743744,0.338294877195869,0.17046289526014233
446,0.08205831373224397,0.25668328232443666,0.12933975185372473
447,0.05865877385571605,0.18882053806115454,0.09514449603635716
448,0.041194136855470104,0.15457576074860344,0.07788894686392221
449,0.044219027700183614,0.12963549901635144,0.06532183600884438
450,0.06009609576926071,0.09907636439040432,0.049923439768964475
451,0.07529871885180088,0.0718927884990408,0.036225948726903205
452,0.12101218613653134,0.020030605890831263,0.010093191780699106
453,0.08193165332437655,0.013331076321016834,0.0067173759338328065
454,0.04090233095594056,0.012805866093066078,0.0064527285444935705
455,0.019550856410150703,0.00602589007818125,0.003036376659796149
456,0.0005260452027981104,0.00013805852144214086,6.956610007054875e-05
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.0,0.0,0.0
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.0,0.0,0.0
469,0.0,0.0,0.0
470,0.0,0.0,0.0
471,0.0,0.0,0.0
472,0.0,0.0,0.0
473,0.0,0.0,0.0
474,0.0,0.0,0.0
475,0.0,0.0,0.0
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,0.0,0.0,0.0
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.0,0.0,0.0
486,0.0,0.0,0.0
487,0.0,0.0,0.0
488,0.0,0.0,0.0
489,0.0,0.0,0.0
490,0.0,0.0,0.0
491,0.0,0.0,0.0
492,0.0,0.0,0.0
493,0.0,0.0,0.0
494,0.0,0.0,0.0
495,0.0,0.0,0.0
496,0.0,0.0,0.0
497,0.0,0.0,0.0
498,0.0,0.0,0.0
499,0.0,0.0,0.0
500,0.0,0.0,0.0
501,0.0,0.0,0.0
502,0.0,0.0,0.0
503,0.0,0.0,0.0
504,0.0,0.0,0.0
505,0.0,0.0,0.0
506,0.0,0.0,0.0
507,0.0,0.0,0.0
508,0.0,0.0,0.0
509,0.0,0.0,0.0
510,0.0,0.0,0.0
511,0.0,0.0,0.0
512,0.0,0.0,0.0
513,0.0,0.0,0.0
514,0.013499936285652157,0.013464346426461708,0.0067845292061911346
515,0.02765955299598561,0.022099406050181125,0.011135636371644669
516,0.04235937745665083,0.03671728954561468,0.018501419631094793
517,0.06867014713778721,0.04751734568251993,0.023943443623089856
518,0.13104819986316033,0.025553443474598737,0.012876086078077036
519,0.1786438147732881,0.02317598964585731,0.011678114455350008
520,0.20671982314361304,0.026460231630872053,0.01333300619400433
521,0.21335332840160678,0.027903511931505753,0.01406025852710869
522,0.20236168758377535,0.033748779979088615,0.017005621824424253
523,0.3241559185421092,0.04545379385707044,0.02290364360719484
524,0.5707706206622726,0.030750751703352976,0.015494949879907138
525,0.610048911785825,0.0328387351362967,0.0165470607016407
526,0.5034070122499749,0.2648289445337816,0.13344425729443857
527,0.5659160125918,0.3188918134922325,0.1606859147653302
528,0.7931598662168551,0.30632714208396083,0.15435472144664983
529,0.9548599531579114,0.2427121843852048,0.12229987639233683
530,0.7917847403056794,0.29992379402347363,0.15112814805364785
531,0.749336647290865,0.32324393501632,0.1628788987137405
532,0.5320859156486475,0.33471770994346,0.1686604018504582
533,0.4337941067119925,0.33471770994346,0.1686604018504582
534,0.391752522601725,0.32996994100809,0.1662680557249197
535,0.386554989525915,0.32996994100809,0.1662680557249197
536,0.354600925231425,0.3477740745157225,0.1752393536956887
537,0.2920048394150249,0.25221487633034867,0.12708817349917267
538,0.2513188706659838,0.24316793014428534,0.12252952143526345
539,0.26696584340278506,0.23422713211151808,0.11802435620416456
540,0.3265755414565161,0.2624010344803825,0.13222086136079614
541,0.15611924570668087,0.29085909275357114,0.14656054940733104
542,0.15840554157065764,0.27714262268808276,0.1396489780010681
543,0.1353585277054167,0.24612195877819967,0.12401802246664871
544,0.11660547494685304,0.2112703587391379,0.10645670230610917
545,0.10038143971935573,0.17766419772412947,0.08952294453631571
546,0.09306921644331295,0.16789095220823894,0.08459831859891975
547,0.06019819883771482,0.09852062312525024,0.049643408141353144
548,0.04247124562761343,0.07030445375436158,0.03542560512884299
549,0.03331063734745131,0.06273597586059376,0.03161193622206534
550,0.03827485044603214,0.019431476177286255,0.009791297213291503
551,0.014211495632068923,0.008600563102176563,0.004333724765260717
552,0.0,0.0,0.0
553,0.0,0.0,0.0
554,0.0,0.0,0.0
555,0.0,0.0,0.0
556,0.0,0.0,0.0
557,0.0,0.0,0.0
558,0.0,0.0,0.0
559,0.0,0.0,0.0
560,0.0,0.0,0.0
561,0.0,0.0,0.0
562,0.0,0.0,0.0
563,0.0,0.0,0.0
564,0.0,0.0,0.0
565,0.0,0.0,0.0
566,0.0,0.0,0.0
567,0.0,0.0,0.0
568,0.0,0.0,0.0
569,0.0,0.0,0.0
570,0.0,0.0,0.0
571,0.0,0.0,0.0
572,0.0,0.0,0.0
573,0.0,0.0,0.0
574,0.0,0.0,0.0
575,0.0,0.0,0.0
576,0.0,0.0,0.0
577,0.0,0.0,0.0
578,0.0,0.0,0.0
579,0.0,0.0,0.0
580,0.0,0.0,0.0
581,0.0,0.0,0.0
582,0.0,0.0,0.0
583,0.0,0.0,0.0
584,0.0,0.0,0.0
585,0.0,0.0,0.0
586,0.0,0.0,0.0
587,0.0,0.0,0.0
588,0.0,0.0,0.0
589,0.0,0.0,0.0
590,0.0,0.0,0.0
591,0.0,0.0,0.0
592,0.0,0.0,0.0
593,0.0,0.0,0.0
594,0.0,0.0,0.0
595,0.0,0.0,0.0
596,0.0,0.0,0.0
597,0.0,0.0,0.0
598,0.0,0.0,0.0
599,0.0,0.0,0.0
600,0.0,0.0,0.0
601,0.0,0.0,0.0
602,0.0,0.0,0.0
603,0.0,0.0,0.0
604,0.0,0.0,0.0
605,0.0,0.0,0.0
606,0.0,0.0,0.0
607,0.0,0.0,0.0
608,0.0,0.0,0.0
609,0.0,0.0,0.0
610,0.0,0.0,0.0
611,0.0,0.0,0.0
612,0.015663073520660067,0.0183680148327653,0.009255431280922335
613,0.028486826493654593,0.027891347586528187,0.01405412905367122
614,0.01887944643475338,0.01720500755152469,0.008669405296691636
615,0.014786969093812921,0.0150477858418739,0.007582406104172979
616,0.02542325816683862,0.017732231820910153,0.008935067538330722
617,0.07683620327038654,0.02598838224957318,0.013095246721175166
618,0.1742639163793688,0.03145470614243715,0.01584966442010994
619,0.23364678927944485,0.039777643617798536,0.020043496827148736
620,0.3946176518402391,0.053727649878706873,0.02707274443456894
621,0.2570472275008025,0.0656774702725937,0.0330941214032815
622,0.0932958377848132,0.3970290818600221,0.20005838503179665
623,0.09455060005619884,0.4166843758011007,0.2099624614403953
624,0.14183623315679877,0.5179369354158904,0.2609824609375919
625,0.0999218045166437,0.534124005228925,0.2691389391230725
626,0.07294475657265108,0.4510528190612243,0.22728032446057012
627,0.12302371899326262,0.3953121342778008,0.19919323490507568
628,0.341408262989249,0.29254170270490953,0.14740839719703547
629,0.35636495756549075,0.16502485331490618,0.08315412435185078
630,0.1572961006233253,0.12225664918230597,0.06160371849897465
631,0.09502906938257381,0.10511884420081204,0.05296817580390237
632,0.1135675760408381,0.08742546142615544,0.04405268385287364
633,0.11400835989339939,0.10079212480938379,0.05078799169779141
634,0.10302888285885158,0.11931336701329846,0.060120632487577055
635,0.07217501506143945,0.09592305809360606,0.048334525016693386
636,0.1921272283584099,0.00835610665129716,0.004210545973056319
637,0.3231038438391463,0.013955358981154286,0.007031944781548826
638,0.3361804954638484,0.018432043037829363,0.00928769435656805
639,0.27295615828139086,0.020956885428351075,0.010559933379314703
640,0.18313755471401563,0.06848491584852594,0.03450876091874061
641,0.21086635335625276,0.06956078971792526,0.0350508813795431
642,0.13639433038539991,0.011265903685298258,0.0056767592102967175
643,0.10100596005569833,0.007965479460792109,0.00401371342740037
644,0.05336833448160385,0.00500453390002713,0.002521727036180416
645,0.07020020821900105,0.006496361058606768,0.0032734415722889807
646,0.05744383115263044,0.017905714951749405,0.009022483691382662
647,0.01006547282069045,0.0025761576498643172,0.0012980961913537327
648,0.0,0.0,0.0
649,0.0,0.0,0.0
650,0.0,0.0,0.0
651,0.0,0.0,0.0
652,0.0,0.0,0.0
653,0.0,0.0,0.0
654,0.0,0.0,0.0
655,0.0,0.0,0.0
656,0.0,0.0,0.0
657,0.0,0.0,0.0
658,0.0,0.0,0.0
659,0.0,0.0,0.0
660,0.0,0.0,0.0
661,0.0,0.0,0.0
662,0.0,0.0,0.0
663,0.0,0.0,0.0
664,0.0,0.0,0.0
665,0.0,0.0,0.0
666,0.0,0.0,0.0
667,0.0,0.0,0.0
668,0.0,0.0,0.0
669,0.0,0.0,0.0
670,0.0,0.0,0.0
671,0.0,0.0,0.0
