t,Equal,Proportional,InstantLoad
250,0.3309838010215824,0.3309838010215824,0.3309838010215824
251,0.13731776699555975,0.13731776699555964,0.13731776699555975
252,0.23841406114784036,0.23841406114784036,0.23841406114784025
253,0.23023500380664164,0.23023500380664164,0.23023500380664152
254,0.0,0.0,0.0
255,0.06515599518272125,0.06515599518272125,0.0651559951827212
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,0.2935091304428377,0.2935091304428377,0.2935091304428378
259,0.33746915078818973,0.33746915078818973,0.3374691507881897
260,0.0026920247182863066,0.0026920247182863066,0.0026920247182863066
261,0.05714691772559691,0.057146917725596894,0.05714691772559691
262,0.12987292543106263,0.1298729254310626,0.12987292543106263
263,0.14095557239745432,0.14095557239745432,0.14095557239745432
264,0.583750640901001,0.583750640901001,0.583750640901001
265,0.5818746082523352,0.5818746082523352,0.5818746082523352
266,0.1503081288543847,0.1503081288543847,0.1503081288543847
267,0.1704524138523537,0.1704524138523537,0.1704524138523537
268,0.1230733064950635,0.1230733064950635,0.1230733064950635
269,0.12482632060939051,0.12482632060939051,0.12482632060939051
270,0.1417043143608085,0.1417043143608085,0.1417043143608085
271,0.1114725095470625,0.1114725095470625,0.1114725095470625
272,0.2549720871991239,0.2549720871991239,0.2549720871991239
273,0.2600773563741816,0.2600773563741816,0.2600773563741816
274,0.2298995007237156,0.2298995007237156,0.2298995007237156
275,0.2653288386132736,0.2653288386132736,0.2653288386132736
276,0.47992392302315595,0.47992392302315595,0.47992392302315595
277,0.471189607085106,0.471189607085106,0.471189607085106
278,0.39757510023849024,0.39757510023849024,0.39757510023849024
279,0.3706647958518902,0.3706647958518902,0.3706647958518902
280,0.3155592295789816,0.3155592295789816,0.3155592295789816
281,0.3300754166309534,0.3300754166309534,0.3300754166309534
282,0.28903924670224446,0.28903924670224446,0.28903924670224446
283,0.4489325867090254,0.4489325867090254,0.4489325867090254
284,0.5175529885410615,0.5175529885410615,0.5175529885410615
285,0.721794510176959,0.721794510176959,0.721794510176959
286,0.3851041990414069,0.3851041990414069,0.3851041990414069
287,0.31729023198717515,0.31729023198717515,0.31729023198717515
288,0.41468149081617744,0.41468149081617744,0.41468149081617744
289,1.3220662000987435,1.3220662000987435,1.3220662000987435
290,1.488411147798201,1.488411147798201,1.488411147798201
291,1.0681183252298858,1.0681183252298858,1.0681183252298858
292,1.0205435043027593,1.0205435043027593,1.0205435043027593
293,1.4606423108996118,1.4606423108996118,1.4606423108996118
294,0.7028724905879672,0.7028724905879672,0.7028724905879672
295,0.7321509017605872,0.7321509017605872,0.7321509017605872
296,0.6376711757898567,0.6376711757898567,0.6376711757898567
297,0.6277681837755891,0.6277681837755891,0.6277681837755891
298,0.6231417971529569,0.6231417971529569,0.6231417971529569
299,0.6222806674125844,0.6222806674125844,0.6222806674125844
300,0.5985995223586242,0.5985995223586242,0.5985995223586242
301,0.5894653961839716,0.5894653961839716,0.5894653961839716
302,0.6100497347788669,0.6100497347788669,0.6100497347788669
303,0.6203832916633194,0.6203832916633194,0.6203832916633194
304,0.6955522191892787,0.6955522191892787,0.6955522191892787
305,0.7053014380356237,0.7053014380356237,0.7053014380356237
306,0.7075345947196907,0.7075345947196907,0.7075345947196907
307,0.6852067307372083,0.6852067307372083,0.6852067307372083
308,0.6953300452558298,0.6953300452558298,0.6953300452558298
309,0.7026804026825697,0.7026804026825697,0.7026804026825697
310,0.9535629466079731,0.9535629466079731,0.9535629466079731
311,0.9558080348596529,0.9558080348596529,0.9558080348596529
312,0.6524692718071038,0.6524692718071038,0.6524692718071038
313,0.6517619152346562,0.6517619152346562,0.6517619152346562
314,0.7011520825363194,0.7011520825363194,0.7011520825363194
315,0.7147148759471669,0.7147148759471669,0.7147148759471669
316,0.6498783224821015,0.6498783224821015,0.6498783224821015
317,0.6504319058866266,0.6504319058866266,0.6504319058866266
318,0.6401780899235301,0.6401780899235301,0.6401780899235301
319,0.6472824102815926,0.6472824102815926,0.6472824102815926
320,0.6423446972711679,0.6423446972711679,0.6423446972711679
321,0.628781903860323,0.628781903860323,0.628781903860323
322,0.5879448823556158,0.5879448823556158,0.5879448823556158
323,0.5983340810899885,0.5983340810899885,0.5983340810899885
324,0.7986467197854776,0.7986467197854776,0.7986467197854776
325,0.6095504720953409,0.6095504720953409,0.6095504720953409
326,0.4438592318109243,0.4438592318109243,0.4438592318109243
327,0.47850771986956253,0.47850771986956253,0.47850771986956253
328,0.3501176665863598,0.3501176665863598,0.3501176665863598
329,0.31873972764346775,0.31873972764346775,0.3187397276434677
330,0.33631600000141754,0.33631600000141754,0.33631600000141754
331,0.1921264570402394,0.19212645704023945,0.19212645704023945
332,0.0,0.0,0.0
333,0.0,0.0,0.0
334,0.0,0.0,0.0
335,0.0,0.0,0.0
336,0.22848024961729574,0.22848024961729596,0.22848024961729596
337,0.33748514311552147,0.33748514311552147,0.33748514311552147
338,0.2379364698302564,0.2379364698302564,0.2379364698302564
339,0.0,0.0,0.0
340,0.0,0.0,0.0
341,0.0,0.0,0.0
