case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv03_consumption_instant_export__no_deg,Apt1,242.03226949001305,65.00406050439503,178.49151801054182,0.0,15.008297691525986,13.544988666602205,0.0,0.0,1.0,15.008297691525986,1.0,0.2625300816843892,1.78,0.1799999999999999,1.78,35.62341437521182,-3.3306690738754695e-18,0.10478780264241269,1.746463377373545,-5.551115123125783e-17,1.746463377373545,0.0,-1.3877787807814457e-17,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt2,117.94368032413539,56.76946010330863,62.302322135145836,0.0,11.570276044298467,10.442174129979367,0.0,0.0,1.0,11.570276044298467,1.0,0.47176209896176513,1.78,0.1799999999999999,1.8025094505027983,12.34827576131735,-8.326672684688674e-19,0.06050454693589381,1.0084091155982302,-1.3877787807814457e-17,1.0084091155982302,0.0,-3.469446951953614e-18,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt3,59.43046312832059,28.605477599243155,31.393423100634283,0.0,5.830128939044631,5.261691367487779,0.0,0.0,1.0,5.830128939044631,1.0,0.471762098961765,1.2,0.1199999999999999,1.2000000000000004,6.222154042628525,-8.326672684688674e-19,0.03048754486791733,0.5081257477986222,-1.3877787807814457e-17,0.5081257477986222,0.0,-3.469446951953614e-18,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt4,149.81598662198513,72.11045688926318,79.13848231516972,0.0,14.696949563567053,13.263996981119265,0.0,0.0,1.0,14.696949563567053,1.0,0.47176209896176496,1.78,0.1799999999999998,2.2409654833776584,15.685190687436396,0.0,0.07685488844680566,1.2809148074467611,0.0,1.2809148074467611,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt5,278.96668994884067,74.92375967202796,205.7295420493478,0.0,17.298582282411687,15.611970509876548,0.0,0.0,1.0,17.298582282411687,1.0,0.2625300816843894,2.4,0.2399999999999997,2.4,41.05959099531911,-1.6653345369377351e-18,0.12077854953705855,2.0129758256176427,-2.775557561562892e-17,2.0129758256176427,0.0,-6.93889390390723e-18,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt6,91.80731761505041,26.68572202873402,65.8146940554312,0.0,7.108702247331577,6.415603778216748,0.0,0.0,1.0,7.108702247331577,1.0,0.28312147914621255,1.2,0.1199999999999999,1.2231627577081214,13.345137507859162,-3.3306690738754695e-18,0.036015780675282,0.6002630112547,-5.551115123125783e-17,0.6002630112547,0.0,-1.5612511283791264e-17,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt7,265.99010256848595,77.31560102103929,190.68259129104345,0.0,20.595792242018167,18.5877024984214,0.0,0.0,1.0,20.595792242018167,1.0,0.28312147914621244,2.4,0.2399999999999999,3.4361545407837277,38.66439611480483,-6.6613381477509375e-18,0.1043472507940032,1.73912084656672,-1.1102230246251563e-16,1.73912084656672,0.0,-2.7755575615628907e-17,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,Apt8,42.664936467960885,10.287589068391972,32.71070683170119,0.0,3.419071098792597,3.0857116666603206,0.0,0.0,1.0,3.419071098792597,1.0,0.23331171824748403,1.2,0.1199999999999999,1.2,5.742937976468608,-4.163336342344337e-19,0.024900678511494717,0.7114479574712775,-6.938893903907228e-18,0.7114479574712775,0.0,-1.734723475976807e-18,,,,,,,,,,,,,,,,
b8_pv03_consumption_instant_export__no_deg,_COMMUNITY,1248.651446164792,411.7021268864032,846.2632797890153,0.0,95.52780010899016,86.21383959836363,0.0,0.0,1.0,95.52780010899016,1.0,0.3222581991249071,13.739999999999998,1.3799999999999994,13.739999999999998,168.6910974610458,0.0,0.3092856249587797,5.717200101918731,0.0,5.717200101918731,0.0,0.0,846.2632797890153,0.0,0.0,0.0,1.0,95.52780010899016,1.0,0.3222581991249071,0.0,21.086387182630727,13.879218952543669,5.742937976468608,41.05959099531911,35.3166530188505,0.6582075360911639,0.3568603039538776
b8_pv03_consumption_instant_export__with_deg,Apt1,242.03226949001305,65.00406050439503,178.49151801054182,0.0,15.008297691525986,13.544988666602203,0.0,0.0,1.0,15.008297691525986,1.0,0.2625300816843892,1.78,0.18,1.78,35.62341437521182,0.0,0.10478780264241269,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,,,,,,,,,,,,
