t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,P_share,E,c_grid,c_sell,P_simul_imp_exp
167,1.6705,0.0094623510856238,1.6610376489143763,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
168,1.4465,0.0038095179695368,1.442690482030463,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
169,1.3245,0.0,1.3245,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
170,1.349,0.0,1.349,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
171,1.257,0.0,1.257,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
172,1.352,0.0,1.352,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
173,1.22,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
174,1.5475,0.0,1.5475,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
175,1.4195,0.0,1.4195,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
176,1.424,0.0,1.424,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
177,1.282,0.0,1.282,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
178,1.3745,0.0,1.3745,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
179,1.3635,0.0,1.3635,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
180,1.297,0.0,1.297,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
181,1.3455,0.0,1.3455,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
182,1.497,0.0,1.497,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
183,1.3355,0.0,1.3355,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
184,1.242,0.0,1.242,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
185,1.356,0.0,1.356,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
186,1.3055,0.0,1.3055,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
187,1.3195,0.0,1.3195,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
188,1.3425,0.0,1.3425,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
189,1.141,0.0,1.141,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
190,1.5235,0.0,1.5235,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
191,1.248,0.0,1.248,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
192,1.4155,0.0,1.4155,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
193,1.4255,0.0,1.4255,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
194,1.551,0.0,1.551,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
195,1.273,0.0,1.273,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
196,1.508,0.0,1.508,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
197,1.5155,0.0,1.5155,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
198,1.3355,0.0,1.3355,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
199,1.3475,0.0,1.3475,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
200,1.1445,0.0,1.1445,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
201,1.5465,0.0,1.5465,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
202,1.2495,0.0,1.2495,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
203,1.4695,0.0,1.4695,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
204,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
205,1.5025,0.0,1.5025,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
206,1.232,0.0,1.232,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
207,1.5395,0.0,1.5395,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
208,1.588,0.0,1.588,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
209,1.321,0.0,1.321,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
210,1.4185,0.0,1.4185,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
211,1.2785,0.0,1.2785,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
212,1.3125,0.0,1.3125,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
213,1.3215,0.0,1.3215,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
214,1.349,0.0,1.349,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
215,1.253,0.0,1.253,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
