case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
b8_pv01_equal_export__3months,Apt3,284.253278440278,323.36483530969804,76.62673640620653,105.46800081548923,105.33633292448535,95.066040464348,0.0,0.0,0.6738420839282702,0.7304279590840114,5.0,1.0,5.574003101104242,14.361138780746414,-0.020275751711514876,0.08423444369762002,1.2479176844091855,-1.3517167807676584,1.2479176844091855,1.3517167807676584,-1.4988010832439613e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__3months,Apt4,143.23195559967814,323.36483530969804,10.48020617118649,183.77108134761363,70.17440547274607,63.3324009391533,0.0,0.0,0.4316912005239855,0.9268305307477764,5.0,1.0,6.00529357718222,-8.196609214636466,-0.020576044440802008,0.031215583907594113,0.4624530949273202,-1.3717362960534671,0.4624530949273202,1.3717362960534671,-1.0499413838349625e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__3months,Apt5,361.06797111154407,323.36483530969804,114.63426544205689,64.45276285104109,127.98324911968996,115.50488233052016,0.0,0.0,0.8006809776044066,0.6825133365079254,5.0,0.9999999999999996,10.0,27.084085898292898,-0.020024114274137635,0.11096585537493336,1.6439385981471608,-1.3349409516091757,1.6439385981471608,1.3349409516091757,-2.199802839886189e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__3months,Apt6,816.9810400676263,323.36483530969804,513.1202991407412,4.3321730803640355,155.60944925588805,140.43752795343897,0.0,0.0,0.9866028318254983,0.37193120283639974,5.0,0.9999999999999998,10.0,138.28255038317832,-0.013732502389572143,0.15534071384604797,2.30134390883034,-0.9155001593048095,2.30134390883034,0.9155001593048095,-2.3217539002473586e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__3months,Apt7,291.6095154677288,323.36483530969804,53.08645066494092,69.50957946660718,157.25324143900497,141.92105039870196,0.0,0.0,0.7850428621898996,0.8179536405737906,5.0,0.9999999999999998,5.787984347897468,10.162766911537615,-0.019444481378477912,0.04764180070965066,0.7058044549577875,-1.2962987585651942,0.7058044549577875,1.2962987585651942,-2.7327098917062642e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__3months,Apt8,844.8699618307119,323.36483530969804,534.7330363811973,2.6471880243406076e-15,135.6708703608565,122.44296050067298,0.0,0.0,1.0,0.3670824380801661,5.0,0.9999999999999998,5.54156298276152,144.37791982292325,-2.685351940812097e-17,0.15074497648202115,2.2332589108447576,-1.790234627208065e-15,2.2332589108447576,1.790234627208065e-15,-2.0056872829243844e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__3months,_COMMUNITY,3576.8044982073416,2586.9186824775843,1711.4811014897778,622.9411732618822,1011.8370512629564,913.1829387648181,0.0,0.0,0.7591956881051749,0.5215055498986442,40.0,8.0,42.68046441425316,424.7234270065272,-0.09600885097628335,0.36285282300683014,5.3755973778789645,-6.400590065085557,5.3755973778789645,6.400590065085557,40.75154919937319,1711.4811014897778,622.9411732618822,0.0,0.0,0.7591956881051749,0.5215055498986442,0.023810691899490182,53.09042837581589,61.99086749935852,-11.2890608721091,144.37791982292325,155.66698069503235,1.1676467754326318,0.6280914471119515,,,,,
b8_pv01_equal_export__6months,Apt1,235.31327925109846,979.4698365954299,0.0,728.7474249543953,158.04238348652416,142.633251096588,0.0,0.0,0.2559776751395719,1.0,5.0,0.9999999999999996,5.0,-43.724845497263715,-0.02294877374495423,1.1657341758564144e-16,7.771561172376096e-15,-1.5299182496636152,0.0,1.5299182496636152,-2.5726382829605043e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,Apt2,1155.433377033558,979.4698365954299,429.23003812207713,207.96254629413826,464.65591169036816,419.35196030055727,0.0,0.0,0.7876784577491412,0.6285116505600039,5.0,0.9999999999999996,10.0,103.41435751531255,-0.02139891607212789,0.13477403170698496,1.9966523215849623,-1.4265944048085262,1.9966523215849623,1.4265944048085262,-6.21629483998909e-14,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__6months,Apt3,510.47833559656897,979.4698365954299,76.62673640620653,525.1916724592189,209.50323021383105,189.0766652679825,0.0,0.0,0.46380005505350813,0.8498922852099944,5.0,0.9999999999999996,5.0,-10.822281517877371,-0.022575352032079724,0.08423444369762002,1.2479176844091855,-1.505023468805315,1.2479176844091855,1.505023468805315,-5.4322865650213714e-14,,,,,,,,,,,,,,,,,,,
