case,house,runset,scenario,variant,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import
b8_pv19_optimal_pwl_export__1year,Apt4,pwl_sweep,b8_pv19_optimal_pwl_export,1year,1928.9604210722466,1535.4052634955046,1066.4950436460742,641.559523455593,321.849872961424,290.4695103476851,3.6333783204334225e-15,2.3663969421087375e-18,0.5821562302092035,963.409396417017,0.3340738362718953,0.4471140869478057,1.78,0.18,3.55,174.79383494847914,-0.034499999999999996,0.11434347910709143,1.9057246517848572,-2.3,1.9057246517848572,2.3,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,Apt5,pwl_sweep,b8_pv19_optimal_pwl_export,1year,2613.864153369639,2498.7815150614506,1481.6597674345912,1319.2650213381169,485.2523875721576,437.94027978387226,3.95516952522712e-15,1.582839276418232e-18,0.4720366653161858,1804.5174089102745,0.2689097845086435,0.433153492110704,2.4,0.24,4.8,169.29503680748803,-0.05175,0.12077854953705855,2.1774537489251924,-3.45,2.1774537489251924,3.45,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,Apt6,pwl_sweep,b8_pv19_optimal_pwl_export,1year,961.9626116696597,1086.0463853962801,400.9939273086225,503.8527522124348,219.05604190931655,197.83109308650847,1.8127860323957634e-15,1.6691607805814925e-18,0.5360670050675714,722.9087941217513,0.30302030310122835,0.583150194774592,1.2,0.12,2.4,38.763369770198665,-0.017249999999999998,0.036015780675282,0.614742936951715,-1.15,0.614742936951715,1.15,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,Apt7,pwl_sweep,b8_pv19_optimal_pwl_export,1year,2787.0603388930194,2786.186786833006,1286.386327899867,1231.833771981669,550.5538857249743,496.8748818667893,3.164135620181696e-15,1.1356509316370334e-18,0.5578782521677715,1782.3876577066435,0.3088856026041827,0.5384433160816313,2.4,0.24,4.8,155.01843338161592,-0.034499999999999996,0.11829896779636397,1.9716494632727328,-2.3,1.9716494632727328,2.3,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,Apt8,pwl_sweep,b8_pv19_optimal_pwl_export,1year,466.8050932923151,836.7824780515523,235.9022402516774,598.2593294519512,79.58914729589087,71.96885173692749,7.157035381011312e-15,8.553041643123869e-18,0.2850479722699287,677.848476747842,0.11741436327738158,0.4946451021176958,1.2,0.12,2.4,-0.22969775877810772,-0.017249999999999998,0.0411743502945975,0.747860648207995,-1.15,0.747860648207995,1.15,0.0,,,,,,,,,
b8_pv19_optimal_pwl_export__1year,_COMMUNITY,pwl_sweep,b8_pv19_optimal_pwl_export,1year,13310.234697055548,12572.966734505979,6873.551193586406,5890.353625891373,2525.1514534482194,2279.2218483027536,2.600480594749932e-14,2.068311043576551e-18,0.5315064653972602,8415.505079339593,0.3000594057803576,0.4835890312958228,13.739999999999998,1.38,27.45,876.4214327603236,-0.17227918684223703,0.4356257903599369,7.260429839332282,-11.485279122815802,7.260429839332282,11.485279122815802,0.4289118083597637,6873.551193586406,5890.353625891373,2.600480594749932e-14,2.068311043576551e-18,0.5315064653972602,8415.505079339593,0.3000594057803576,0.4835890312958228,6.240032208678012e-05
b8_pv19_optimal_pwl_export__3months,Apt1,pwl_sweep,b8_pv19_optimal_pwl_export,3months,708.8150033043063,410.7642691606105,350.92658083425175,35.45565880042358,178.66859374494788,161.24840585481542,-6.938893903907228e-17,-1.6892642386073975e-19,0.9136836831672907,214.12425254537146,0.8344154929721902,0.5049109017186068,1.78,0.1799999999999995,3.550000000000001,60.24117868429109,-0.034499999999999996,0.10478780264241269,1.746463377373545,-2.3,1.746463377373545,2.3,-9.749145934989656e-16,,,,,,,,,
b8_pv19_optimal_pwl_export__3months,Apt2,pwl_sweep,b8_pv19_optimal_pwl_export,3months,284.253278440278,209.95837355515346,123.84044671140275,44.48040930648948,51.95007712603823,46.88494460624948,-5.377642775528102e-17,-2.561289975946333e-19,0.7881465332707722,96.43048643252772,0.538730841748762,0.5643306300953648,1.78,0.1799999999999997,3.347782254564289,19.659190987481168,-0.034499999999999996,0.08792868068301929,1.465478011383655,-2.3,1.465478011383655,2.3,-6.218983661376853e-16,,,,,,,,,
b8_pv19_optimal_pwl_export__3months,Apt3,pwl_sweep,b8_pv19_optimal_pwl_export,3months,143.23195559967814,119.14789609696948,55.03386783302071,28.380593838108986,26.35091786874924,23.78170337654618,4.336808689942017e-18,3.639853352015944e-20,0.7618036510270294,54.73151170685823,0.48145788499109354,0.6157710225863566,1.2,0.1199999999999992,2.4,7.804613433355263,-0.017249999999999998,0.03960529130446155,0.6600881884076925,-1.15,0.6600881884076925,1.15,-9.063930161978817e-17,,,,,,,,,
b8_pv19_optimal_pwl_export__3months,Apt4,pwl_sweep,b8_pv19_optimal_pwl_export,3months,361.06797111154407,276.10202688288757,158.62960210875212,67.05451249496438,67.78610651416592,61.17696112903474,-1.4137996329210978e-16,-5.120569554966651e-19,0.7571386445366209,134.8406190091303,0.5027128102220889,0.5606655400078481,1.78,0.1799999999999998,3.5500000000000003,24.665217567296327,-0.034499999999999996,0.1060467171146389,1.7674452852439817,-2.3,1.7674452852439817,2.3,-2.3765711620882257e-16,,,,,,,,,
